Rank,Date,Tm,,Opp,,,Scorer,Age,Assist1,Assist2,Goalie,Per.,Time,Strength,Other,Arena Name
167,1991-11-26,LAK,,TOR,T,OT,Wayne Gretzky,30,Charlie Huddy,Rob Blake,Grant Fuhr,2,1:41,PP,,Great Western Forum
168,1991-11-23,LAK,,SJS,W,,Wayne Gretzky,30,Tony Granato,,Arturs Irbe,1,1:22,EV,,Great Western Forum
169,1991-11-23,LAK,,SJS,W,,Wayne Gretzky,30,,,Arturs Irbe,1,16:22,EV,,Great Western Forum
170,1991-11-23,LAK,,SJS,W,,Wayne Gretzky,30,Luc Robitaille,Brian Benning,Arturs Irbe,2,10:36,PP,,Great Western Forum
171,1991-11-21,LAK,,NYR,W,,Wayne Gretzky,30,Tony Granato,Tomas Sandstrom,John Vanbiesbrouck,2,3:52,PP,,Great Western Forum
172,1991-11-12,LAK,@,VAN,L,,Wayne Gretzky,30,Bob Kudelski,Larry Robinson,Kirk McLean,1,14:17,PP,,Pacific Coliseum
173,1991-11-02,LAK,@,TOR,W,,Wayne Gretzky,30,Charlie Huddy,,Grant Fuhr,3,1:13,EV,,Maple Leaf Gardens
174,1991-11-02,LAK,@,TOR,W,,Wayne Gretzky,30,Jari Kurri,Luc Robitaille,Grant Fuhr,3,18:45,EV,,Maple Leaf Gardens
175,1991-10-31,LAK,@,BOS,W,,Wayne Gretzky,30,Luc Robitaille,,,3,19:37,EV,EN,Boston Garden
176,1991-10-30,LAK,@,HAR,T,OT,Wayne Gretzky,30,Tomas Sandstrom,Luc Robitaille,Kay Whitmore,3,17:24,PP,,Hartford Civic Center
177,1991-03-28,LAK,,MNS,W,,Wayne Gretzky,30,Larry Robinson,Tony Granato,Jon Casey,1,10:31,EV,,Great Western Forum
178,1991-03-26,LAK,,EDM,W,,Wayne Gretzky,30,Marty McSorley,Luc Robitaille,Bill Ranford,1,8:23,EV,,Great Western Forum
179,1991-03-26,LAK,,EDM,W,,Wayne Gretzky,30,Larry Robinson,,,3,19:54,EV,EN,Great Western Forum
180,1991-03-07,LAK,@,PIT,L,,Wayne Gretzky,30,,,Tom Barrasso,1,15:16,EV,,Pittsburgh Civic Arena
